matrixItem,matrixPosition,targetCode
A,"(-450, 450)",11
B,"(-270, 450)",12
C,"(-90, 450)",13
D,"(90, 450)",14
E,"(270, 450)",15
F,"(450, 450)",16
G,"(-450, 270)",21
H,"(-270, 270)",22
I,"(-90, 270)",23
J,"(90, 270)",24
K,"(270, 270)",25
L,"(450, 270)",26
M,"(-450, 90)",31
N,"(-270, 90)",32
O,"(-90, 90)",33
P,"(90, 90)",34
Q,"(270, 90)",35
R,"(450, 90)",36
S,"(-450, -90)",41
T,"(-270,-90)",42
U,"(-90, -90)",43
V,"(90, -90)",44
W,"(270, -90)",45
X,"(450, -90)",46
Y,"(-450, -270)",51
Z,"(-270, -270)",52
1,"(-90, -270)",53
2,"(90, -270)",54
3,"(270, -270)",55
4,"(450, -270)",56
5,"(-450, -450)",61
6,"(-270, -450)",62
7,"(-90, -450)",63
8,"(90, -450)",64
9,"(270, -450)",65
0,"(450, -450)",66
